co_municipio,rede,ano,ideb,rend,meta,nm,port,mat,aprov
1100296,Pública,2023,4.5,0.989609,,4.547192,274.74,266.63,99.3
1100296,Pública,2025,4.3,1.0,,4.306555,263.91,261.04,100.0
1100304,Estadual,2017,3.1,0.668383,,4.598458,271.25,274.0,66.7
1100304,Estadual,2019,3.6,0.759297,3.3,4.758606,277.21,279.05,74.2
1100304,Estadual,2021,3.5,0.755701,3.5,4.692224,279.39,272.0,74.9
1100304,Estadual,2023,3.9,0.826923,,4.74214,281.88,272.9,81.3
1100304,Estadual,2025,3.9,0.868856,,4.536639,273.96,266.71,87.2
1100304,Federal,2017,4.3,0.771362,,5.600559,303.43,311.05,74.7
1100304,Federal,2019,,0.859457,4.5,,,,85.4
1100304,Federal,2021,,,4.8,,,,
1100304,Federal,2023,,0.917388,,,,,91.8
1100304,Federal,2025,,0.872512,,,,,87.2
1100304,Pública,2017,3.3,0.686373,,4.744079,275.93,279.38,68.0
1100304,Pública,2019,3.9,0.777863,3.5,5.016266,285.49,288.57,76.3
1100304,Pública,2021,3.6,0.770204,3.7,4.692224,279.39,272.0,76.4
1100304,Pública,2023,4.1,0.839622,,4.895502,287.64,277.68,82.8
1100304,Pública,2025,4.0,0.86939,,4.607437,276.25,269.31,87.2
1100320,Estadual,2017,3.8,0.977277,,3.856898,245.0,249.18,97.6
1100320,Estadual,2019,4.1,0.945162,4.0,4.341096,267.24,259.95,94.4
1100320,Estadual,2021,,0.993618,4.2,,,,99.3
1100320,Estadual,2023,4.4,0.986642,,4.431925,269.32,264.2,98.6
1100320,Estadual,2025,4.1,0.956331,,4.255958,263.72,257.64,96.0
1100320,Pública,2017,3.8,0.977277,,3.856898,245.0,249.18,97.6
1100320,Pública,2019,4.1,0.945162,4.0,4.341096,267.24,259.95,94.4
1100320,Pública,2021,,0.993618,4.2,,,,99.3
1100320,Pública,2023,4.4,0.986642,,4.431925,269.32,264.2,98.6
1100320,Pública,2025,4.0,0.944272,,4.255958,263.72,257.64,94.6
1100338,Estadual,2017,3.7,0.886906,,4.126273,257.29,255.26,87.4
1100338,Estadual,2019,4.0,0.933609,3.9,4.242463,259.76,260.9,92.9
1100338,Estadual,2021,3.8,0.918844,4.1,4.152149,258.54,255.77,91.6
1100338,Estadual,2023,3.9,0.944709,,4.13377,258.41,254.6,94.1
