co_municipio,rede,ano,ideb,rend,meta,nm,port,mat,aprov
1100023,Pública,2013,4.2,0.835353,4.4,4.9795,247.57,251.2,83.2
1100023,Pública,2015,4.3,0.821528,4.7,5.2885,259.32,257.99,82.0
1100023,Pública,2017,4.9,0.909423,5.0,5.423333,264.06,261.34,90.9
1100023,Pública,2019,5.1,0.916039,5.2,5.5225,265.26,266.09,91.5
1100023,Pública,2021,5.0,0.970992,5.5,5.184,255.5,255.54,97.1
1100023,Pública,2023,4.8,0.937832,,5.065667,251.99,251.95,93.8
1100023,Pública,2025,4.9,0.970702,,5.022833,249.86,251.51,97.0
1100031,Estadual,2005,3.8,0.855988,,4.423638,225.0,240.4,85.7
1100031,Estadual,2007,3.5,0.823254,3.8,4.235167,219.47,234.64,81.0
1100031,Estadual,2009,3.2,0.754043,4.0,4.190667,226.02,225.42,75.4
1100031,Estadual,2011,4.0,0.825359,4.2,4.823833,236.93,252.5,83.1
1100031,Estadual,2013,4.1,0.868498,4.6,4.757667,244.09,241.37,88.0
1100031,Estadual,2015,4.3,0.917234,5.0,4.726833,242.81,240.8,91.7
1100031,Estadual,2017,5.1,0.967273,5.3,5.265667,259.51,256.43,96.8
1100031,Estadual,2019,4.6,0.977905,5.5,4.724667,241.04,242.44,98.2
1100031,Estadual,2021,4.9,0.995731,5.8,4.9575,245.8,251.65,99.6
1100031,Estadual,2023,5.0,0.997227,,5.011833,252.78,247.93,99.7
1100031,Estadual,2025,5.0,0.994217,,5.072333,247.62,256.72,99.3
1100031,Pública,2005,3.8,0.855988,,4.423667,225.0,240.4,85.7
1100031,Pública,2007,3.5,0.823254,3.8,4.235167,219.47,234.64,81.0
1100031,Pública,2009,3.2,0.754043,4.0,4.190667,226.02,225.42,75.4
1100031,Pública,2011,4.0,0.825359,4.2,4.823833,236.93,252.5,83.1
1100031,Pública,2013,4.1,0.868498,4.6,4.757667,244.09,241.37,88.0
1100031,Pública,2015,4.3,0.917234,5.0,4.726833,242.81,240.8,91.7
1100031,Pública,2017,5.1,0.967273,5.3,5.265667,259.51,256.43,96.8
1100031,Pública,2019,4.6,0.977905,5.5,4.724667,241.04,242.44,98.2
1100031,Pública,2021,4.9,0.995731,5.8,4.9575,245.8,251.65,99.6
1100031,Pública,2023,5.0,0.997227,,5.011833,252.78,247.93,99.7
1100031,Pública,2025,5.0,0.994217,,5.072333,247.62,256.72,99.3
1100049,Estadual,2005,3.5,0.759765,,4.590921,229.9,245.5,76.0
1100049,Estadual,2007,3.2,0.740733,3.5,4.386333,224.09,239.09,74.1
1100049,Estadual,2009,3.6,0.759386,3.7,4.693667,238.43,243.19,76.2
1100049,Estadual,2011,3.9,0.772768,3.9,5.108,247.52,258.96,77.2
1100049,Estadual,2013,4.4,0.872465,4.3,5.068667,249.62,254.5,87.2
1100049,Estadual,2015,4.6,0.876689,4.7,5.216667,257.02,255.98,87.5
1100049,Estadual,2017,5.1,0.936832,5.0,5.490833,265.84,263.61,93.6
1100049,Estadual,2019,5.4,0.968786,5.2,5.550667,263.38,269.66,96.9
1100049,Estadual,2021,5.1,0.990202,5.5,5.133833,254.27,253.76,99.0
1100049,Estadual,2023,5.0,0.989485,,5.015333,251.27,249.65,98.9
1100049,Estadual,2025,5.0,0.991731,,5.079667,253.87,250.91,99.1
1100049,Municipal,2005,3.5,0.812656,,4.248833,223.3,231.6,81.2
1100049,Municipal,2007,3.9,0.880404,3.5,4.472667,226.36,242.0,88.1
1100049,Municipal,2009,3.4,0.827158,3.6,4.1515,221.25,227.84,82.5
1100049,Municipal,2011,4.7,0.904692,3.9,5.151667,245.27,263.83,90.5
1100049,Municipal,2013,4.2,0.956029,4.3,4.351,221.81,239.25,95.8
1100049,Municipal,2015,4.5,0.936527,4.7,4.854167,243.79,247.46,93.6
1100049,Municipal,2017,4.5,0.932896,4.9,4.8255,241.32,248.21,93.2
1100049,Municipal,2019,4.3,0.938508,5.2,4.576333,230.35,244.23,93.6
1100049,Municipal,2021,4.7,0.998997,5.5,4.657333,238.49,240.95,99.9
1100049,Municipal,2023,4.0,0.980511,,4.110333,227.34,219.28,98.3
1100049,Pública,2005,3.6,0.778459,,4.576833,229.6,245.0,77.7
1100049,Pública,2007,3.5,0.789448,3.6,4.39,224.19,239.21,79.0
1100049,Pública,2009,3.6,0.779941,3.7,4.645167,236.89,241.82,78.1
1100049,Pública,2011,4.1,0.809244,4.0,5.110167,247.41,259.2,80.9
1100049,Pública,2013,4.5,0.894248,4.4,5.021,247.77,253.49,89.4
1100049,Pública,2015,4.6,0.893416,4.8,5.183167,255.8,255.19,89.2
1100049,Pública,2017,5.1,0.935781,5.1,5.426,263.45,262.11,93.5
1100049,Pública,2019,5.3,0.961259,5.3,5.468167,260.58,267.51,96.1
1100049,Pública,2021,5.1,0.992217,5.6,5.105167,253.32,252.99,99.2
1100049,Pública,2023,4.9,0.988228,,4.954667,249.67,247.61,98.8
1100049,Pública,2025,5.0,0.992736,,5.079667,253.87,250.91,99.2
1100056,Estadual,2005,3.5,0.747845,,4.735314,229.2,254.9,74.9
1100056,Estadual,2007,3.7,0.794934,3.6,4.664,232.78,247.06,79.3
1100056,Estadual,2009,3.8,0.780038,3.7,4.847667,244.43,246.43,78.1
1100056,Estadual,2011,3.4,0.705494,4.0,4.8285,239.62,250.09,70.6
1100056,Estadual,2013,3.6,0.735266,4.4,4.8995,241.95,252.02,74.2
1100056,Estadual,2015,4.1,0.825855,4.8,4.925,245.6,249.9,82.6
1100056,Estadual,2017,5.3,0.909648,5.0,5.8065,271.65,276.74,90.8
1100056,Estadual,2019,5.3,0.967177,5.3,5.503167,261.62,268.57,96.7
1100056,Estadual,2021,5.0,0.992467,5.5,5.021333,250.22,251.06,99.2
1100056,Estadual,2023,5.0,0.966651,,5.1365,252.94,255.25,96.7
1100056,Estadual,2025,5.0,0.985171,,5.034,248.84,253.2,98.5
1100056,Municipal,2007,3.7,0.812434,,4.580667,241.16,233.68,80.8
1100056,Municipal,2009,,0.740892,3.8,,,,73.4
